CodigoLocalidad,CodigoRecinto,CodigoMesa,CodigoPais,NombrePais,CodigoDepartamento,NombreDepartamento,CodigoCircunscripcionU,CodigoCircunscripcionE,CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,NombreLocalidad,NombreRecinto,NumeroMesa
3983,1,7065162,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Lorecinto de la Frontera,U.E. San Lorencito de La Frontera,1
3983,1,7065172,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Lorecinto de la Frontera,U.E. San Lorencito de La Frontera,2
3984,1,7065182,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,San Bartolo de la Frontera,U.E. San Bartolo de La Frontera,1
4507,32133,7065242,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Picaflor,U. E. Petrona Frey Algarañaz,1
4604,32340,7065252,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,1,San Ignacio,Comunidad Indígena Marco Porvenir,U.E. Rafael Espinoza Bacusia,1
3547,1,7065562,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,2,San Miguel,Cruz del Tocoigo,U.E. El Tacoigo,1
3550,1,7065592,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,2,San Miguel,San Pedro del Cerrito,U.E. El Cerrito,1
2302,6319,7065762,32,BOLIVIA,7,Santa Cruz,0,5,3,Velasco                                 ,3,San Rafael,Villa Fátima,U.E. Villa Fatima,1
3553,1,7068342,32,BOLIVIA,7,Santa Cruz,0,5,4,Ichilo                                  ,3,Yapacaní                                ,El Pallar,Esc. El Pallar,1
3553,1,7068352,32,BOLIVIA,7,Santa Cruz,0,5,4,Ichilo                                  ,3,Yapacaní                                ,El Pallar,Esc. El Pallar,2
